,date,price,bedrooms,bathrooms,sqft_living,floors,sqft_above,sqft_basement,street,statezip,county,country,view_Bay/Lake,view_Mountain/Forest,view_Street,waterfront_No,waterfront_Yes,city_Bellevue,city_Mercer Island,city_others
0,5/2/2014,313000,3,1.5,1340,1.5,1340,0,18810 Densmore Ave N,WA 98133,King County,USA,0,0,1,1,0,0,0,1
1,5/2/2014,2384000,5,2.5,3650,2.0,3370,280,709 W Blaine St,WA 98119,King County,USA,0,0,1,1,0,0,0,1
2,5/2/2014,342000,3,2.0,1930,1.0,1930,0,26206-26214 143rd Ave SE,WA 98042,King County,USA,0,0,1,1,0,0,0,1
3,5/2/2014,420000,3,2.25,2000,1.0,1000,1000,857 170th Pl NE,WA 98008,King County,USA,0,0,1,1,0,1,0,0
4,5/2/2014,550000,4,2.5,1940,1.0,1140,800,9105 170th Ave NE,WA 98052,King County,USA,0,0,1,1,0,0,0,1
5,5/2/2014,490000,2,1.0,880,1.0,880,0,522 NE 88th St,WA 98115,King County,USA,0,0,1,1,0,0,0,1
6,5/2/2014,335000,2,2.0,1350,1.0,1350,0,2616 174th Ave NE,WA 98052,King County,USA,0,0,1,1,0,0,0,1
7,5/2/2014,482000,4,2.5,2710,2.0,2710,0,23762 SE 253rd Pl,WA 98038,King County,USA,0,0,1,1,0,0,0,1
8,5/2/2014,452500,3,2.5,2430,1.0,1570,860,46611-46625 SE 129th St,WA 98045,King County,USA,0,0,1,1,0,0,0,1
9,5/2/2014,640000,4,2.0,1520,1.5,1520,0,6811 55th Ave NE,WA 98115,King County,USA,0,0,1,1,0,0,0,1
10,5/2/2014,463000,3,1.75,1710,1.0,1710,0,Burke-Gilman Trail,WA 98155,King County,USA,0,0,1,1,0,0,0,1
11,5/2/2014,1400000,4,2.5,2920,1.5,1910,1010,3838-4098 44th Ave NE,WA 98105,King County,USA,0,0,1,1,0,0,0,1
12,5/2/2014,588500,3,1.75,2330,1.0,1970,360,1833 220th Pl NE,WA 98074,King County,USA,0,0,1,1,0,0,0,1
13,5/2/2014,365000,3,1.0,1090,1.0,1090,0,2504 SW Portland Ct,WA 98106,King County,USA,0,0,1,1,0,0,0,1
14,5/2/2014,1200000,5,2.75,2910,1.5,2910,0,3534 46th Ave NE,WA 98105,King County,USA,0,0,1,1,0,0,0,1
15,5/2/2014,242500,3,1.5,1200,1.0,1200,0,14034 SE 201st St,WA 98042,King County,USA,0,0,1,1,0,0,0,1
16,5/2/2014,419000,3,1.5,1570,1.0,1570,0,15424 SE 9th St,WA 98007,King County,USA,0,0,1,1,0,1,0,0
17,5/2/2014,367500,4,3.0,3110,2.0,3110,0,11224 SE 306th Pl,WA 98092,King County,USA,0,0,1,1,0,0,0,1
18,5/2/2014,257950,3,1.75,1370,1.0,1370,0,1605 S 245th Pl,WA 98198,King County,USA,0,0,1,1,0,0,0,1
19,5/2/2014,275000,3,1.5,1180,1.0,1180,0,12425 415th Ave SE,WA 98045,King County,USA,0,0,1,1,0,0,0,1
20,5/2/2014,750000,3,1.75,2240,2.0,1550,690,3225 NE 92nd St,WA 98115,King County,USA,0,0,1,1,0,0,0,1
21,5/2/2014,435000,4,1.0,1450,1.0,1450,0,3922 154th Ave SE,WA 98006,King County,USA,0,0,1,1,0,1,0,0
22,5/2/2014,626000,3,2.25,1750,2.5,1470,280,3140 Franklin Ave E,WA 98102,King County,USA,0,0,1,1,0,0,0,1
23,5/2/2014,612500,4,2.5,2730,2.0,2730,0,10212 NE 156th Pl,WA 98011,King County,USA,0,0,1,1,0,0,0,1
24,5/2/2014,495000,4,1.75,1600,1.0,1130,470,2021 NE 100th St,WA 98125,King County,USA,0,0,1,1,0,0,0,1
25,5/2/2014,285000,3,2.5,2090,1.0,1360,730,27736 23rd Avenue South,WA 98003,King County,USA,0,0,1,1,0,0,0,1
26,5/2/2014,615000,3,1.75,2360,1.0,1360,1000,8436-8438 41st Ave SW,WA 98136,King County,USA,0,0,1,1,0,0,0,1
27,5/2/2014,698000,4,2.25,2200,1.5,1300,900,1036 4th St,WA 98033,King County,USA,0,0,1,1,0,0,0,1
28,5/2/2014,675000,5,2.5,2820,2.0,2820,0,23525 SE 32nd Way,WA 98029,King County,USA,0,0,1,1,0,0,0,1
29,5/2/2014,790000,3,2.5,2600,1.0,1700,900,3314 NW 75th St,WA 98117,King County,USA,0,0,1,1,0,0,0,1
30,5/2/2014,382500,4,1.75,1560,1.0,1560,0,14104 119th Ave NE,WA 98034,King County,USA,0,0,1,1,0,0,0,1
31,5/2/2014,499950,4,2.5,2860,2.0,2190,670,20120 137th Ave NE,WA 98072,King County,USA,0,0,1,1,0,0,0,1
32,5/2/2014,650000,4,2.0,1820,1.5,1640,180,7201 55th Ave NE,WA 98115,King County,USA,0,0,1,1,0,0,0,1
33,5/2/2014,625000,4,2.5,2820,2.0,2820,0,17052 4th Ave NE,WA 98155,King County,USA,0,0,1,1,0,0,0,1
34,5/2/2014,400000,4,2.5,3630,1.5,2300,1330,5172-5198 Heather Ave SE,WA 98092,King County,USA,0,0,1,1,0,0,0,1
35,5/2/2014,604000,3,2.5,3240,2.0,3240,0,30822 36th Ct SW,WA 98023,King County,USA,0,1,0,1,0,0,0,1
36,5/2/2014,440000,2,1.0,800,1.0,800,0,4801-4899 6th Ave NW,WA 98107,King County,USA,0,0,1,1,0,0,0,1
37,5/2/2014,287200,3,3.0,1850,1.0,1090,760,23017 SE 281st Ct,WA 98038,King County,USA,0,0,1,1,0,0,0,1
38,5/2/2014,403000,3,2.0,1960,1.0,1650,310,17825 4th Ave SW,WA 98166,King County,USA,0,1,0,1,0,0,0,1
39,5/2/2014,750000,3,2.5,2390,1.0,1440,950,3628 59th Ave SW,WA 98116,King County,USA,0,1,0,1,0,0,0,1
40,5/2/2014,335000,3,2.25,1580,1.0,1580,0,4460 332nd Ave SE,WA 98024,King County,USA,0,0,1,1,0,0,0,1
41,5/2/2014,260000,4,2.0,1480,1.0,1480,0,2019 Aberdeen Pl SE,WA 98055,King County,USA,0,0,1,1,0,0,0,1
42,5/2/2014,308500,2,1.0,850,1.0,850,0,121 NE 147th St,WA 98155,King County,USA,0,0,1,1,0,0,0,1
43,5/2/2014,439950,3,2.5,1770,2.0,1770,0,4458 51st Ave SW,WA 98116,King County,USA,0,0,1,1,0,0,0,1
44,5/2/2014,235000,2,1.0,1210,1.0,1210,0,7542 21st Ave SW,WA 98106,King County,USA,0,0,1,1,0,0,0,1
45,5/2/2014,315000,3,1.0,1160,1.0,1160,0,15804 198th Pl NE,WA 98077,King County,USA,0,0,1,1,0,0,0,1
